Serial Number,Title,Paragraph
65,குவாத்தமாலா தீ எரிமலை,"குவாத்தமாலா தீ எரிமலை என்பது குவாத்தமாலாவில் உள்ள ஒரு சுழல்வடிவ எரிமலை ஆகும். இது சிமிலிந்தாங்கோ, எஸ்க்யுன்ட்லா மற்றும் சேக்கெபேக்ஸ் துறைகள் ஆகியவற்றின் எல்லைகளில் அமைந்துள்ளது.இது அன்டிகுவாவின் மேற்கில் சுமார் 16 கிலோமீட்டர் (9.9 மைல்) உள்ளது. இது குவாத்தமாலாவின் புகழ்பெற்ற நகரங்களில் ஒன்றாகும்.இது 2018 ஆம் ஆண்டு ஜூன் மாதத்திற்கு   பின்னர் அடிக்கடி வெடித்தது.[1][2][3][4]"
66,பினாங்கு மலை,"பினாங்கு மலை (மலாய் மொழி: Bukit Bendera; ஆங்கிலம்: Penang Hill) என்பது மலேசியாவில் ஒரு மலை வாழிடமாகும்.[1] பினாங்குத் தீவில், இந்த மலை வாழிடம் அமைந்து உள்ளது. பினாங்கு மாநிலத்தின் ஜார்ஜ் டவுன், பினாங்கு தலைநகர் மையத்தில் இருந்து 6 கி.மீ. தொலைவில் உள்ளது.[2] பினாங்கு மலையை, மலேசியத் தமிழர்கள் கொடி மலை (Flagstaff Hill) என்று அழைக்கிறார்கள்."
67,துருஸ்மாடி மலை,"துருஸ்மாடி மலை (மலாய் மொழி: Gunung Trusmadi; ஆங்கிலம்: Mount Trusmadi) என்பது மலேசியாவில் இரண்டாவது உயர்ந்த மலையாகும். இது சபா, தம்புனான் மாவட்டத்தில், தம்புனான் நகரில் இருந்து 20 கி.மீ. தொலைவில் இருக்கிறது. மலேசியாவில் மிக உயர்ந்த மலையான கினபாலு மலைக்கு அருகாமையில் இருக்கும் இந்த மலையின் உயரம் 2,642 மீட்டர், (8,669 அடி).[1]"
68,மார்சபிட் மலை,"மார்சபிட் மலை (Mount Marsabit) என்பது 6300 கிமீ² கென்யாவில் உள்ள கேடய எரிமலை ஆகும்,  கிழக்கு ஆப்பிரிக்க பிளவு மையத்திலிருந்து 170 கிமீ கிழக்கில்,  மார்சபைட் கவுண்டியில் மார்சபிட்  நகருக்கு அருகில் உள்ளது.  இது முதன்மையாக ஓலிகோசைன் மற்றும் பியோசைன் சகாப்தங்களுக்கு இடைபட்டக் காலத்தின் போது உருவானது, சில எரிமலை குமுறல்கள் சமீபத்தில் ஏற்பட்டது."
69,லோக்கோன் மலை,"லோக்கோன் மலை (Mount Lokon), என்பது இந்தோனேசியாவின் சுலாவெசி தீவில் அமைந்துள்ள இரட்டை எரிமலைகளுள் ஒன்றாகும். இதற்கு 2.2 கிமீ தூரத்தில் எம்புங் மலை காணப்படுகிறது. இத்தீவின் டொண்டானோ சமவெளிக்கு மேலாக இரண்டு எரிமலைகளும் உயர்து காணப்படுகின்றன. சுலாவெசி தீவில் உள்ள உயிர்ப்புள்ள எரிமலைகளில் இதுவும் ஒன்றாகும். லோக்கோன் எரிமலை தட்டையானதும், பெருவாய் அற்றது ஆகும்[1]"
70,பாரன் தீவு,"பாரன் தீவு (Barren Island)  என்பது இந்திய ஒன்றியம், அந்தமான் நிகோபார் தீவுக்கூட்டத்தைச் சேர்ந்த ஒரு தீவாகும். இத்தீவு  அந்தமான் கடலில் உள்ளது. இது அந்தமான் தீவுச் சங்கிளியின் கிழக்கில் தொலைவில் உள்ள ஒரு தீவாகும்.  இங்குதான் தெற்காசியாவிலேயே   விழித்திருக்கும் ஒரே  எரிமலை உள்ளது என உறுதி செய்யப்பட்டுள்ளது. இது ஆட்சிப்பகுதியின் தலைநகரான போர்ட் பிளேரில் இருந்து வடகிழக்காக 135 km (84 mi)  தொலைவில் உள்ளது. இதில் உள்ள எரிமலை வெடிப்பு குறித்து முதல் பதிவு கி.பி. 1787 முதல் உள்ளது, அப்போதுமுதல்  பத்துமுறைக்கு மேல் எரிமலை வெடித்துள்ளது. மிக அண்மையில் செப்டம்பர் 2010 மற்றும் சனவரி  2011 இல் வெடித்துள்ளது.[1]"
71,மீரா (சிகரம்),"இது இமயமலையில் உள்ள பாருன் பகுதியின் ஒரு சிகரம் ஆகும்.ஆனால் இதன் நிர்வாகம் சோலுகும்பு மாவட்டம் சாகர்மாதாவின் கட்டுப்பாட்டில் உள்ளது. இதன் 21,247 அடிகள் உயர்த்தில் உள்ள சிகரம் ஒரு சிறந்த மலையேற்ற சிகரமாக அறியப்படுகிறது.[2]"
72,கெந்திங் மலை,"கெந்திங் மலை (மலாய் மொழி: Tanah Tinggi Genting; ஆங்கிலம்: Genting Highlands) என்பது மலேசியாவில் ஒரு மலை வாழிடமாகும். பகாங் - சிலாங்கூர் மாநிலங்களின் எல்லைப் பகுதிகளில், தித்திவாங்சா மலைத் தொடரில் இந்த மலை வாழிடம் அமைந்து உள்ளது.[1] இங்கு குளிர்மையான தட்ப வெட்ப நிலை நிலவுகிறது."
73,பேய்க் கோபுரம்,"பேய்க் கோபுரம் (Devils Tower, லகோட்டா மொழி: Matȟó Thípila (""கரடி வீடு"") அல்லது Ptehé Ǧí (""கறுப்பு எருமைக் கொம்பு"") (அரபாகோ மொழி: Wox Niiinon [5]) என்பது தென்கிழக்கு வயோமிங்கின் குறூக் கவுண்டியில் அமைந்துள்ள ஓர் தீப்பாறை குவிவளை முகடு ஆகும். இது 1,267 அடி (386 மீ) உயரத்திற்கு சூழவுள்ள நிலப்பிரதேசத்திலிருந்து உயர்ந்தும், கடல் மட்டத்திலிருந்து இதன் சிகரம் 5,114 அடி (1,559 மீ) உயரத்திலும் உள்ளது."
74,பாங்கயான் மலைகள்,"பாங்கயான் மலைகள் (Pangaion Hills, கிரேக்கம்: Παγγαίο‎     ; பண்டைக் கிரேக்கம்: Καρμάνιον ) என்பது கிரேக்கத்தில் உள்ள ஒரு மலைத் தொடர் ஆகும். இது கவாலாவிலிருந்து தோராயமாக 40 கி.மீ. தொலைவில் உள்ளது. இதில் மிக உயர்ந்த சிகரம் 1,956 மீ கொண்ட கூத்ரா சிகரம் ஆகும். இதன் தெற்கே ஏஜியன் கடலும்,  வடக்கே பிலிப்பி - கவாலா சமவெளிகளும் உள்ளன. இந்த மலைத்தொடரின் ஒரு பகுதி செர்ஸ் பிராந்திய அலகின் தென்கிழக்கு பகுதியிலும்,  கவாலா பிராந்திய அலகின் வடமேற்கு பகுதி மலைகளின் பெரும் பகுதியையும் உள்ளடக்கியதாக உள்ளது."
75,மிகிந்தலை,"மிகிந்தலை (Mihintale, சிங்களம்: මිහින්තලය), இலங்கையில் உள்ள எச்சக்குன்றுகளில் ஒன்றாகும். ஆயிரக்கணக்கான ஆண்டுகளாக தொடர்ந்து ஏற்படும் இயற்கை அனர்த்தங்களினால் மண் உள்ளீர்க்கப்பட்டு, இத்தகைய எச்சக்குன்றுகள் உருவாகின்றன. மகிந்த தேரரின் வருகைக்குப் பின் இந்த எச்சக்குன்றுகள் புண்ணிய இடமாக மாற்றம் பெற்றன. இதனால், வரலாற்றுச் சிறப்பு மிக்க நினைவுச் சின்னங்கள், புதை பொருட்கள் என்பன இங்கு காணப்படுகின்றன. இவை அனுராதபுரக் காலப்பகுதிக்கு உரியவையாகும். வரலாற்றுச் சிறப்பு மிக்க மிகிந்தலை ஒரு சரணாலயம் ஆகும். இது அநுராதபுரத்திலிருந்து 8 கிலோ மீற்றர் கிழக்கு நோக்கி அமைந்துள்ளது. இதன் அமைவிடம் வடக்கில் 80 பாகை ஆகவும் அநுராதபுரம் மாவட்டத்தில் உள்ள தனிமையான மலைக்குன்றுப் பகுதியாகவும் காணப்படுகின்றது. இதில் மிகிந்தலை மலை, எத்வெகர மலை, ஆனைக்குட்டி மலை மற்றும் ராஜகலலென மலை ஆகிய நான்கு மலைகள் உள்ளடங்கியுள்ளன. ஆயினும், பண்டைய காலத்தில் 'மிஸ்ஸக்க பவ்வ' என்ற பொதுப்பெயரால் இது அழைக்கப்பட்டிருந்தது. இந்த மலை 1,000 அடிகளைவிடக் குறைந்தது. மலையின் அனைத்துப் பகுதிகளிலும் கற்பாறைகள், கற்குன்றுகள் போன்றவை காணப்படுகிண்றன. இந்த மலைத் தொடர்ச்சி வடகிழக்குத் திசையை நோக்கிச் செல்கின்றது."
76,பிதுருதலாகலை,"பிதுருதலாகலை (Pidurutalagala, சிங்களம்: පිදුරුතලාගල) இலங்கையின் மிக உயர்ந்த மலையாகும். கடல் மட்டத்திலிருந்து 2524 மீட்டர் (8200 அடி) உயரமான இம்மலை, இலங்கையின் மத்திய மலைநாட்டிலுள்ள நுவரெலியா மாவட்டத்தில் அமைந்துள்ளது. இலங்கை ரூபவாகினி கூட்டுத்தாபனத்தின் மத்திய ஒளிபரப்பு கோபுரமும் இம்மலையிலேயே அமைந்துள்ளது."
77,தராவெரா சிகரம்,தராவெரா சிகரம் நியூசிலாந்து நாட்டின் வடக்கு தீவில் உள்ள ஓர் எரிமலை ஆகும். இது இந்நாட்டில் நடந்த மிகப்பெரிய எரிமலை வெடிப்புக்கு காரணமான சிகரம் ஆகும்.[1] 1886ல் இந்த சிகரத்தில் நடந்த எரிமலை வெடிப்பில் சிக்கி 120 மக்கள் கொல்லப்பட்டனர். [2]
78,ஸ்கோபஸ் மலை,"ஸ்கோபஸ் மலை (Mount Scopus, எபிரேயம் הַר הַצּוֹפִים (Har HaTsofim), அரபு மொழி: جبل المشارف, Ǧabal al-Mašārif, lit. ""Mount Lookout""), جبل المشهد Ǧabal al-Mašhad, جبل الصوانة) ஆனது வடகிழக்கு ஜெருசலேமில் உள்ள ஒரு மலையாகும் (உயரம்: கடல் மட்டத்திலிருந்து 2710 அடி அல்லது 826 மீட்டர் ). 1948 அரபு - இசுரேல் போரின் காரணமாக ஸ்கோபஸ் மலையானது ஐக்கிய நாடுகள் சபையால் பாதுகாக்கப்பட்ட, ஜோர்தானால் நிர்வகிக்கப்பட்ட பகுதியினால் சூழப்பட்ட இஸ்ரேலின் பகுதியாக 1967 ஆம் ஆண்டு ஆறு நாள் போர் வரை இருந்தது. தற்போது ஜெருசலேம் நகரின் எல்லைப் பகுதியில் அமைந்துள்ளது."
79,டை மோ சான் மலை,"டை மோ சான் மலை (  சீன: 大帽山  , ஆங்கிலம்: Tai Mo Shan  ) என்பது ஹொங்கொங்கில் உள்ள அதிக உயரமான மலை குன்றாகும். இம்மலை குன்றின் உயரம் 957 மீட்டர்களாகும். இது ஹொங்கொங் புதிய கட்டுப்பாட்டகம் பகுதியில் அமைந்துள்ளது. இது 14.40 கிலோ மீட்டர் பரப்பளவைக் கொண்டுள்ளது. இது ஹொங்கொங்கின் தேசிய வனப்பகுதியில் அமைந்துள்ளது. இது ஹொங்கொங்கில் உள்ள இன்னுமொரு மலைத்தொடரான டய் லாம் தேசிய வனம் பகுதியை வடக்காக கொண்டுள்ளது."
80,ஜாங்சங் சிகரம்,"ஜொங்சாங் சிகரம் (Jongsong Peak) என்பது இமயமலையின் ஜனக்காக் பகுதியில் உள்ள ஒரு சிகரம் ஆகும். இந்த சிகரம் 7,462 மீட்டர் (24,482 அடி) உயரமுடன் உலகிலேயே 57 வது உயரமான சிகரமாக உள்ளது. ஆனால், இதன் தெற்கே  20 கிமீ (12 மைல்கள்) தொலைவில் உள்ள கஞ்சஞ்சங்கா மலை உலகின் மூன்றாவது பெரிய சிகரமாக உள்ளது. ஜாங்சங் சிகரமானது இந்தியா, நேபாளம், சீனா ஆகிய நாடுகளின் எல்லையின் முத்தரப்பு சந்திப்பில் உள்ளது.[2]"
81,அகஸ்டின் எரிமலை,"அகஸ்டின் எரிமலை (Augustine Volcano)என்பது ஒரு சுழல் வடிவ எரிமலை ஆகும். எரிமலை அடிக்கடி வெடிக்கும் தன்மையுடன் உள்ளது, 1883, 1935, 1963-64, 1976, 1986 மற்றும் 2006 இல் இங்கு  பெரிய வெடிப்புகள் ஏற்பட்டுள்ளன. சிறிய வெடிப்பு நிகழ்வுகள் 1812, 1885, 1908, 1944 மற்றும் 1971 இல் பதிவாகியுள்ளன. பெரிய வெடிப்புகளுக்குப் பின்னர் லாவா பீறிட்டு வெளிப்பரவுகிறது. தென்மத்திய அலாஸ்காவின் கெனாய் தீபகற்பப் பகுதியில் உள்ள தென்மேற்குக் ""குக்"" கழிமுகத்தில் அகஸ்டீன் தீவை இது உருவாக்குகிறது. இது அங்கரேச்சு நகரில் இருந்து தென்மேற்கே 280 கிலோமீட்டர் தொலைவில் அமைந்துள்ளது. அகஸ்டீன் தீவின் பரப்பளவு 83.872 ச.கி.மீ (32.4 சதுர மைல்). அகஸ்டீனின் மேற்குக் கரைக்குச் சற்று அப்பல் உள்ள வெஸ்ட் தீவின் பரப்பளவு 5.142 கிமீ (2.0 சதுர மைல்)."
82,தொட்டபெட்டா,தொட்டபெட்டா (Doddabetta) தமிழ்நாடு நீலகிரி மாவட்டத்தில் உள்ள மிக உயரமான மலை ஆகும். இதன் உயரம் 2623 மீட்டர்கள் ஆகும். இதன் வழக்குச் சொற்கள் கருதத் தக்கவை. [1] இது உதகமண்டலத்தில் இருந்து 8 கிலோமீட்டர் தொலைவில் உள்ளது. இது ஒரு முக்கியமான சுற்றுலாத் தலம் ஆகும். இம்மலையின் உச்சியில் இருந்து சாமுண்டி மலையைப் பார்க்க முடியும்.
83,திரிசூல மலை,திரிசூலம் என்பது மேற்கு குமாவுன் இமயமலை மலைச் சிகரங்களின் ஒரு குழுவாகும். இதன் அதிகபட்ட உயரம் 7120 மீ (திரிசூலம் 1) ஆகும். மூன்று சிகரங்களும் பார்ப்பதற்கு இந்துக்கடவுள் சிவபெருமானின் ஆயுதமான சூலத்தைப் போன்று காட்சியளிக்கின்றன.
84,ஸ்டோக் காங்ரி,"ஸ்டோக் காங்ரி (Stok Kangri) வட இந்தியாவில் ஸ்டோக் பகுதியில் இருக்கும் உயரமான மலை ஆகும். இது இமயமலையின் லடாக் பகுதியில் அமைந்துள்ளது. அதிக உயரம் இருந்தபோதிலும், ஸ்டோக் காங்ரி ஒரு பிரபலமான மலையேற்ற சிகரமாகும். மேலும் உயரமான மலையேறுதலுக்கான ஆரம்ப தொழில்நுட்பமற்ற பயணமாக இது பெரும்பாலும் ஏறப்படுகிறது. இருப்பினும், ஸ்டோக் காங்க்ரியின் சிரமம் பெரும்பாலும் குறைத்து மதிப்பிடப்படுகிறது, மேலும் ஏறும் முன்னும் பின்னும் பழக வேண்டிய அவசியம் ஸ்டோக் காங்கிரியை நீடித்த சவாலாக ஆக்குகிறது.[1][2]"
85,சினாய் மலை,"சினாய் மலை (அரபு: جبل موسى), அல்லது கெபல் மூசா அல்லது ஜபல் மூசா (மோசேயின் மலை) எகிப்தின் சினாய் குடாவிலுள்ள ஒரு மலையாகும். இது கடல் மட்டத்திலிருந்து 2,285 மீற்றர் உயரமானதாகும். சூழவுள்ள சமவெளியிலிருந்து செங்குத்தாக உயர்ந்து காணப்படுகிறது."
86,கிரிகல்பொத்த,"கிரிகல்பொத்த (Kirigalpotha) என்பது இலங்கையின் மத்திய மாகாணத்தில் நுவரேலியா நகருக்கு அண்மையில் அமைந்துள்ளது. இது இலங்கையின் இரண்டாவது உயரமான மலை. இதன் உயரம் கடல் மட்டத்தில் இருந்து 2,388 மீ (7,835 அடி) ஆகும்[1]."
87,சத்ருஞ்ஜெய மலை,"சத்ருஞ்ஜெய மலை (Shatrunjaya) (மனதின் எதிரிகளை வென்ற இடம்) [1] பண்டைய வரலாற்றில் இம்மலையின் பெயர் புண்டரீக மலை என்பதாகும்.  சத்ருஞ்ஜெய மலை, இந்தியாவின் குஜராத் மாநிலத்தின் பவநகர் மாவட்டதின் பாலிதானா நகரத்தில், 580 மீட்டர் உயரத்தில், 2500 படிக்கட்டுகள் கொண்ட சமணர்களின் முக்கியமான புனிதத் தலங்களில் முதன்மையான, 863 சமணக் கோயில்களின் தொகுதி உள்ளது .[2]"
89,துய்லியர் மலை,துய்லியர் மலை (Mount Thuillier) என்பது நிக்கோபார் தீவுகளில் உள்ள மிக உயர்ந்த மலையாகும். இந்தியப் பெருங்கடலில் பெரிய நிக்கோபார் தீவின் மீது அமைந்துள்ள இம்மலை அந்தமான் கடலின் எல்லையாக உள்ளது. கடல் மட்டத்தில் இருந்து 642 மீட்டர் உயரத்தில் இம்மலை அமைந்துள்ளது.
90,அபு மலை,"மவுண்ட் அபு பலுக்கல் (உதவி·தகவல்) இந்தியாவின் மேற்கில் ராஜஸ்தான் மாநிலத்திலுள்ள ஆரவல்லி மலைத் தொடரில் உள்ள உயரமான சிகரமாகும். இது சிரோஹி மாவட்டத்தில் அமைந்துள்ளது. மவுண்ட் அபு பலன்பூருக்கு (குஜராத்) 58 கிமீ உயரத்தில் அமைந்துள்ளது. இந்த மலை 22 கிமீ நீளமும் 9 கிமீ அகலமும் கொண்ட தனிச்சிறப்புமிக்க பீடபூமியை உருவாக்குகிறது. இம்மலையில் உள்ள மிக உயர்ந்த சிகரம், குரு ஷிங்கார் ஆகும், இது கடல் மட்டத்திலிருந்து 1722 மீட்டர் உயரத்தில் அமைந்துள்ளது. இதன் உயரமே ஆறுகளுக்கும், ஏரிகளுக்கும் நீர் வீழ்ச்சிகளுக்கும் பசுமைமாறாக் காடுகளுக்கும் மூலமாக அமைந்துள்ளதால், இது பாலைவனச்சோலை என அழைக்கப்படுகிறது. மவுண்ட் அபுவின் பழைய பெயர் ""அற்புதாஞ்சல் "" ஆகும்"
91,அகத்தியமலை,"அகத்தியமலை அல்லது அகத்தியக் கூடம் என்பது மேற்குத் தொடர்ச்சி மலையில் உள்ள ஒரு மலைமுடியாகும். இதன் உயரம் 1,868 மீட்டர்கள். இம்மலை நெய்யாறு கானுயிர்க் காப்பகத்தின் ஒரு பகுதி. இது தமிழக - கேரள மாநிலங்களின் எல்லையில் அமைந்துள்ளது. தாமிரபரணி ஆறு இம்மலையில் தோன்றி திருநெல்வேலி மாவட்டத்தின் ஊடாகப் பாய்கிறது. இம்மலை அகத்திய முனிவரின் பக்தர்களால் புண்ணிய தலமாகக் கருதப்படுகிறது. மலை முகட்டில் அகத்தியருக்கு ஒரு சிறு கோவில் அமைந்துள்ளது."
92,பாருன்டிஸ்,"பாருன்டிஸ் மலை சிகரம் நேபாளம் நாட்டின் கும்பு பகுதியில் அமைந்துள்ளது. இம்மலை இமயமலைத் தொடரில் கிழக்கு நேபாளத்தில் அமைந்துள்ளது. இம்மலை நான்கு சிகரங்களால் சூழப்பட்டும் தெற்கே ஹாங்கு பனிப்பாறைகளால் சூழப்பட்டும் உள்ளது. மேலும் கிழக்கே பாருன் பனிப்பாறைகளாலும், வடமேற்கே இம்ஜா பனிப்பாறைகளாலும் சூழப்பட்டுள்ளது. 1954 ஆம் ஆண்டு மே மாதம் 30ஆம் தேது முதன் முதலில் இம்மலையில் தெற்கு முனை வழியாக மலையேற்றம் நடைபெற்றது.[2][3]"
93,எகேலியசு மலை,"எகேலியஸ் மலை (Aigaleo அல்லது Egaleo, கிரேக்கம்: Αιγάλεω‎  , பழங்காலத்தில் பொய்கிலோன் ஓரோஸ் (Ποικίλον Όρος) என்று அறியப்பட்டது)  கிரேக்கத்தின் அட்டிகாவில் உள்ள ஏதென்சில் உள்ள ஒரு மலையாகும். இது ஏதென்ஸ் சமவெளிக்கு மேற்கே, எலியூசிசின் தென்கிழக்கே, சலாமிஸ் தீவின் கிழக்கே அமைந்துள்ளது. மலையின் பெரும்பகுதி பாறைகள் (சுண்ணாம்புக் கல்) ஆகும். இது ஹைமெட்டஸ் மலையைவிட விட உயரத்தில் குறைவானது. எகேலியஸ் மலையில் உள்ள காடுகளின் பெரும்பகுதி டாப்னி மடாலயத்தின் வடக்கே அமைந்துள்ளது. இதன் வடக்கு பகுதியில் ஒரு பூங்காவும் உள்ளது."
94,ஒதகன்தெங்கர்,"ஓதகன்தெங்கர் (மொங்கோலியம்: Отгонтэнгэр, பொருள். ""இளைய வானம்"") என்பது மங்கோலியாவில் உள்ள கான்காய் மலைகளின் மிக உயரமான சிகரமாகும். இதன் உயரம் 4,008 மீ ஆகும். இது சவ்கான் மாகாணத்தில் அமைந்துள்ளது. கான்காய் மலைகளில் உள்ள மலைகளில் இதன் உச்சி மட்டுமே நிரந்தர பனிப்பாறையுடன் காணப்படுகிறது. இதன் தென் முகம் தான் மங்கோலியாவிலேயே மிகவும் விரிவான கிரானைட் சுவர் ஆகும்."
95,நந்த குந்தி,"நந்த குந்தி (Nanda Ghunti) 6,309 மீட்டர்கள் (20,699 ft) இந்தியாவின் வடக்கில் உத்தராகண்ட் மாநிலத்தின் கார்வால் கோட்டத்தில் உள்ள சமோலி மாவட்டத்தின் இமயமலைப் பகுதியில் 6309 மீட்டர் உயரத்தில் அமைந்துள்ளது. இது  நந்ததேவி தேசியப் பூங்காவிற்கு வெளியே அமைந்துள்ளது. இந்த மலையடிவாரத்தில் எலும்புக் கூடுகள் நிறைந்த, மர்ம ஏரியான ரூப் குண்டம் அமைந்துள்ளது."
96,கிசிமென்,"கிசிமென் (Kizimen, உருசியம்: Кизимен) என்பது உருசியாவின் தூரகிழக்குப் பகுதியான கம்சாத்கா பிரதேசத்தில் உள்ள ஒரு அடுக்கு எரிமலை ஆகும்."
97,ஆனைமுடி (மலை),"ஆனமுடி (தமிழ்நாட்டில் ஆனைமுடி) என்னும் மலை முகடு தான் தென் இந்தியாவிலேயே மிகவும் உயரமான இடம். இதன் உயரம் 2, 695 மீ (8, 842 அடி). இது தென் இந்தியாவில் மேற்குத் தொடர்ச்சி மலைத்தொடரில் உள்ள இடம். இம்மலை முகடு இரவிக்குளம் தேசிய பூங்காவின் தென் பகுதியிலே ஏலக்காய் மலைகள், ஆனை மலைகள், பழனி மலைகள் கூடுமிடத்தில் உள்ளது. இந்த ஆனைமுடி மலை கேரளாவில் இடுக்கி மாவட்டத்தில் அமைந்துள்ளது. மலை முகடு முன்னார் (மூனார்) நகராட்சியின் கீழ் உள்ளது."
98,கிர்நார்,"கிர்நார் மலை அல்லது ரைவத மலை (Girnar or Revatak Pravata) , இந்திய மாநிலமான குஜராத்தின் ஜூனாகாத்  மாவட்டத்தின் தலைமையிடமான ஜூனாகத் நகரத்திலிருந்து நான்கு கிலோ மீட்டர் தொலைவில் உள்ளது.  பௌத்தர்களும், இந்துக்களும் மற்றும் சமணர்களும் கிர்நார் மலையைப் புனித தலமாக கருதுகின்றனர்.[1]3661 அடி உயரம் கொண்ட கிர்நார் மலை 8,000 படிகளுடன் கூடியது."
99,கெளிமுட்டு,"கெளிமுட்டு (Kelimutu) இந்தோனேசியாவில் உள்ள ஓர் எரிமலையாகும். இந்தோனேசியாவின் மத்திய புளோரஸ் தீவின் அருகிலுள்ள மோனி என்ற நகரத்தில் அமைந்துள்ளது. இது இந்தோனேசியாவின் கிழக்கு நூசா டென்கரே மாகாணத்தின் எண்டி ஆட்சிப்பிரதேசத்தின் தலைநகரான எண்டிக்குக் கிழக்கே 50 கி.மீ சுற்றளவில் அமைந்துள்ளது. இங்கு மண் மற்றும் வேதிப்பொருட்களின் காரணமாக மூன்று ஏரிகள் முறையே நீலம், பச்சை, சிவப்பு என்ற வண்ணங்களில் காணப்படுகிறது.[2] இது சுற்றுலாப் பயணிகளைக் கவர்ந்திழுக்கும் விதமாக அமைந்துள்ளது.[3]"
100,யு சான்,"யு சான் (Yu Shan) என்பது தைவானின்  கடல் மட்டத்திலிருந்து 3,952 மீ (12,966 அடி) உயரத்திலுள்ள மிக உயரமான மலையாகும். யப்பான் ஆட்சிக் காலத்தில் இது நிட்டிகா மலை என அழைக்கப்பட்டது. மேலும் ஜேட் மலை எனவும், யு மலை எனவும் அழைக்கப்படுகிறது. இது கம்சாத்கா தீபகற்பத்திற்கு வெளியே மேற்கு பசிபிக் பிராந்தியத்தில் மிக உயரமான இடமாகும். யுசான் மற்றும் சுற்றியுள்ள மலைகள் யுசான் மலைத்தொடரைச் சேர்ந்தவை. இப்பகுதி ஒரு காலத்தில் கடலில் இருந்தது; பிலிப்பீன்சு கடல் தட்டு மீது யூரேசிய தட்டு மோதியதின் காரணமாக அது தற்போதைய உயரத்திற்கு உயர்ந்தது."
