item,itemLabel
http://www.wikidata.org/entity/Q513,எவரெசுட்டு சிகரம்
http://www.wikidata.org/entity/Q130736,நங்க பர்வதம்
http://www.wikidata.org/entity/Q583,மோண்ட் பிளாங்க்
http://www.wikidata.org/entity/Q130018,மெக்கின்லி மலை
http://www.wikidata.org/entity/Q60967,கினபாலு மலை
http://www.wikidata.org/entity/Q60789,ஸ்ரீ பாத
http://www.wikidata.org/entity/Q791,டவுமடவாகடாங்கிஹங்ககோவாவாடமடிபொகைவெனவுயகிடனடாஹு
http://www.wikidata.org/entity/Q1024,ட்ரிக்லவ்
http://www.wikidata.org/entity/Q130321,அதோஸ் மலை
http://www.wikidata.org/entity/Q76309,பெலே மலை
http://www.wikidata.org/entity/Q82019,கஞ்சன்சங்கா மலை
http://www.wikidata.org/entity/Q16990,எட்னா எரிமலை
http://www.wikidata.org/entity/Q17541,விக்டோரியா சிகரம்
http://www.wikidata.org/entity/Q1484,மயோன் எரிமலை
http://www.wikidata.org/entity/Q2353,டொப்ஃபெர்
http://www.wikidata.org/entity/Q72303,அரராத் மலை
http://www.wikidata.org/entity/Q7296,கிளிமஞ்சாரோ மலை
http://www.wikidata.org/entity/Q80344,ஒலிம்பசு மலை
http://www.wikidata.org/entity/Q43105,எல்பிரஸ் மலை
http://www.wikidata.org/entity/Q158470,ஆகூங்க் மலை
http://www.wikidata.org/entity/Q83497,மவுண்ட் ரஷ்மோர்
http://www.wikidata.org/entity/Q168702,லகோத்சே மலை
http://www.wikidata.org/entity/Q82613,கிரகட்டோவா
http://www.wikidata.org/entity/Q39739,அக்கோன்காகுவா
http://www.wikidata.org/entity/Q43512,கே-2 கொடுமுடி
http://www.wikidata.org/entity/Q38954,டெயிட்
http://www.wikidata.org/entity/Q14081,சிம்போரசோ
http://www.wikidata.org/entity/Q165440,தவுளகிரி
http://www.wikidata.org/entity/Q170070,மனசுலு
http://www.wikidata.org/entity/Q44211,கரிஎண்ட்ஸ்
http://www.wikidata.org/entity/Q178167,கொஸ்கியஸ்கோ மலை
http://www.wikidata.org/entity/Q105124,சிசாபங்மா
http://www.wikidata.org/entity/Q170089,சோ ஓயு மலை
http://www.wikidata.org/entity/Q120306,லோகன் மலை
http://www.wikidata.org/entity/Q168714,தம்போரா எரிமலை
http://www.wikidata.org/entity/Q169986,மக்காலு
http://www.wikidata.org/entity/Q180996,பைச்சான் காங்ரி
http://www.wikidata.org/entity/Q186853,கசெர்பிரம் II
http://www.wikidata.org/entity/Q1010335,புர்கான் கல்துன்
http://www.wikidata.org/entity/Q582128,கியாச்சுங் காங்
http://www.wikidata.org/entity/Q193785,தாபோர் மலை
http://www.wikidata.org/entity/Q187138,கசெர்பிரம் 1
http://www.wikidata.org/entity/Q187315,குனோங் தகான்
http://www.wikidata.org/entity/Q998772,அத்தி பர்வதம்
http://www.wikidata.org/entity/Q1045888,புஞ்சா ஜாயா
http://www.wikidata.org/entity/Q207678,சினாபுங்
http://www.wikidata.org/entity/Q205976,ஒலிவ மலை
http://www.wikidata.org/entity/Q206161,எர்சில் மலை
http://www.wikidata.org/entity/Q1051394,மச்சபூச்சர மலை
http://www.wikidata.org/entity/Q1357713,லைகாபெட்டஸ் மலை
http://www.wikidata.org/entity/Q213262,நந்தா தேவி
http://www.wikidata.org/entity/Q216059,டாய் மலை
http://www.wikidata.org/entity/Q602538,இதோம்
http://www.wikidata.org/entity/Q1060898,சாம்லாங்
http://www.wikidata.org/entity/Q213360,மேசை மலை
http://www.wikidata.org/entity/Q215471,எர்மோன் மலை
http://www.wikidata.org/entity/Q619132,கார்மோ மலை
http://www.wikidata.org/entity/Q624430,ஐடா பாகுலா
http://www.wikidata.org/entity/Q1383096,தில்லா ஜோகியன்
http://www.wikidata.org/entity/Q216894,அரபா குன்று
http://www.wikidata.org/entity/Q633612,மூருட் மலை
http://www.wikidata.org/entity/Q847323,ரிஞ்சனி மலை
http://www.wikidata.org/entity/Q229107,கயிலை மலை
http://www.wikidata.org/entity/Q235539,விட்னி மலை
http://www.wikidata.org/entity/Q859376,குவாத்தமாலா தீ எரிமலை
http://www.wikidata.org/entity/Q1094967,பினாங்கு மலை
http://www.wikidata.org/entity/Q1099076,துருஸ்மாடி மலை
http://www.wikidata.org/entity/Q1106320,மார்சபிட் மலை
http://www.wikidata.org/entity/Q265585,லோக்கோன் மலை
http://www.wikidata.org/entity/Q248212,பாரன் தீவு
http://www.wikidata.org/entity/Q1441337,மீரா (சிகரம்)
http://www.wikidata.org/entity/Q1144734,கெந்திங் மலை
http://www.wikidata.org/entity/Q306201,பேய்க் கோபுரம்
http://www.wikidata.org/entity/Q1448901,பாங்கயான் மலைகள்
http://www.wikidata.org/entity/Q1478212,மிகிந்தலை
http://www.wikidata.org/entity/Q1146327,பிதுருதலாகலை
http://www.wikidata.org/entity/Q1192560,தராவெரா சிகரம்
http://www.wikidata.org/entity/Q312818,ஸ்கோபஸ் மலை
http://www.wikidata.org/entity/Q1481864,டை மோ சான் மலை
http://www.wikidata.org/entity/Q324765,ஜாங்சங் சிகரம்
http://www.wikidata.org/entity/Q1193964,அகஸ்டின் எரிமலை
http://www.wikidata.org/entity/Q336749,தொட்டபெட்டா
http://www.wikidata.org/entity/Q1233570,திரிசூல மலை
http://www.wikidata.org/entity/Q1507962,ஸ்டோக் காங்ரி
http://www.wikidata.org/entity/Q377485,சினாய் மலை
http://www.wikidata.org/entity/Q375975,கிரிகல்பொத்த
http://www.wikidata.org/entity/Q1521057,சத்ருஞ்ஜெய மலை
http://www.wikidata.org/entity/Q692712,ஹெகு தீவு
http://www.wikidata.org/entity/Q377415,துய்லியர் மலை
http://www.wikidata.org/entity/Q695221,அபு மலை
http://www.wikidata.org/entity/Q390831,அகத்தியமலை
http://www.wikidata.org/entity/Q379143,பாருன்டிஸ்
http://www.wikidata.org/entity/Q1296693,எகேலியசு மலை
http://www.wikidata.org/entity/Q1572208,ஒதகன்தெங்கர்
http://www.wikidata.org/entity/Q1964543,நந்த குந்தி
http://www.wikidata.org/entity/Q760738,கிசிமென்
http://www.wikidata.org/entity/Q485550,ஆனைமுடி (மலை)
http://www.wikidata.org/entity/Q1747217,கிர்நார்
http://www.wikidata.org/entity/Q1738211,கெளிமுட்டு
http://www.wikidata.org/entity/Q500275,யு சான்
